time,lastnum,result,maximumRoll,maximum,minimum
100,2836,end,9,3013,2731
100,2876,end,43,3131,2860
100,2828,end,47,3100,2732
100,2816,end,3,3017,2748
100,2885,end,86,3092,2757
time,lastnum,result,maximumRoll,maximum,minimum
100,3209,end,99,3209,2657
100,2883,end,4,3002,2631
100,2860,end,12,3072,2791
100,2767,end,1,3020,2680
100,2575,end,7,3045,2471
100,2658,end,48,3089,2517
100,2728,end,5,3006,2662
100,3169,end,95,3288,2930
76,3524,win,75,3524,2930
100,3186,end,96,3228,2807
100,2955,end,93,3095,2828
100,2813,end,74,3020,2608
100,2835,end,81,3146,2807
100,2920,end,61,3045,2847
100,3233,end,60,3251,2916
100,2879,end,38,3053,2643
100,2549,end,2,2940,2394
100,3149,end,86,3196,2930
100,2820,end,56,3090,2656
100,2736,end,0,2930,2518
100,3404,end,91,3475,2888
100,2656,end,36,3104,2514
100,2892,end,54,3057,2706
100,2906,end,33,3175,2837
100,3123,end,98,3193,2697
100,3189,end,96,3204,2771
100,2998,end,94,3012,2601
100,3168,end,93,3169,2790
100,2860,end,0,2990,2475
100,2549,end,2,2990,2547
100,2617,end,5,3056,2617
100,3044,end,71,3311,2923
100,3019,end,46,3231,2888
100,2751,end,1,2972,2460
100,2561,end,35,2972,2464
100,3013,end,95,3069,2753
100,2724,end,0,3010,2669
100,2935,end,46,3284,2837
100,2638,end,9,3002,2595
100,2855,end,22,3330,2734
100,2603,end,9,3113,2472
100,3031,end,21,3054,2744
100,2648,end,1,2958,2582
100,3002,end,63,3056,2820
100,2915,end,82,3031,2750
100,3187,end,74,3325,2905
100,3085,end,99,3085,2772
100,3221,end,63,3329,2878
100,3049,end,51,3343,2853
100,2810,end,8,3141,2567
100,3274,end,90,3288,2894
100,3352,end,99,3352,2777
100,2852,end,19,3134,2696
100,2938,end,53,3153,2836
100,2438,end,0,3010,2414
100,2999,end,72,3089,2832
100,2705,end,22,3003,2567
100,3088,end,93,3217,2800
100,2736,end,9,3013,2676
100,2236,end,2,2996,2221
100,2660,end,1,2975,2394
100,3238,end,98,3308,2854
100,2554,end,1,3000,2506
100,2598,end,3,2968,2435
100,3032,end,90,3152,2695
100,2949,end,36,3144,2894
100,2683,end,18,3022,2580
100,2697,end,10,3004,2555
100,3369,end,90,3400,2940
100,2754,end,11,3043,2521
100,2973,end,77,3145,2781
100,2869,end,66,2996,2706
100,2828,end,21,3123,2673
100,3099,end,85,3104,2758
100,2831,end,63,3047,2775
100,2789,end,69,3146,2737
100,2785,end,16,3036,2660
100,3110,end,99,3110,2709
100,2959,end,97,3005,2655
100,3323,end,49,3421,2930
100,3179,end,96,3319,2930
100,3200,end,31,3356,2930
100,2614,end,15,3054,2510
100,2733,end,5,2982,2580
100,3140,end,96,3189,2799
100,2585,end,0,2930,2540
100,2420,end,0,2990,2396
100,3196,end,93,3263,2930
100,2750,end,12,3079,2611
100,3101,end,74,3125,2687
100,2535,end,5,3048,2445
100,2913,end,39,3209,2841
100,2444,end,2,2996,2444
100,2393,end,0,3010,2247
100,3084,end,84,3175,2819
100,2878,end,83,3089,2767
100,2918,end,13,3139,2828
100,3279,end,33,3385,2930
100,2893,end,20,3174,2796
100,2895,end,5,3063,2694
time,lastnum,result,maximumRoll,maximum,minimum
100,3021,end,82,3406,2930
100,2952,end,1,2954,2648
100,2927,end,13,3070,2656
100,3000,end,32,3278,2930
100,2817,end,13,2971,2657
100,2920,end,40,3060,2617
100,3310,end,94,3324,2820
100,2953,end,30,3067,2691
100,3023,end,45,3204,2900
100,3098,end,75,3323,2877
100,2845,end,15,3139,2845
100,2550,end,4,2972,2383
100,3207,end,97,3253,2926
100,2747,end,14,3086,2613
100,2932,end,87,3093,2852
100,2781,end,2,2982,2640
100,2721,end,53,3136,2721
100,2397,end,6,2940,2275
100,2936,end,36,3107,2756
100,3093,end,67,3182,2719
100,2965,end,44,3283,2892
100,2713,end,32,2992,2593
100,3032,end,42,3264,2835
100,2720,end,2,2996,2612
100,3394,end,83,3423,2860
100,2391,end,19,3110,2391
100,3122,end,73,3211,2869
100,3282,end,95,3356,2919
100,2971,end,32,3210,2800
100,2726,end,41,3091,2705
100,2685,end,22,3251,2645
100,3087,end,89,3235,2930
100,2626,end,6,3034,2602
100,2895,end,5,3027,2700
100,2870,end,1,3020,2776
100,2879,end,30,3105,2844
100,3043,end,75,3252,2780
100,2948,end,37,3163,2840
100,2883,end,28,3046,2638
100,3038,end,99,3038,2777
100,2808,end,10,3153,2696
100,2789,end,9,3103,2750
100,2918,end,25,3211,2691
100,2999,end,47,3124,2916
100,2331,end,1,2972,2331
100,2239,end,6,3048,2239
100,3192,end,99,3192,2728
100,2935,end,89,3114,2713
100,2691,end,54,3050,2663
100,2973,end,76,3248,2832
100,3190,end,99,3190,2869
100,3129,end,93,3133,2827
100,2975,end,12,3143,2887
100,2811,end,74,3087,2758
